Broadcast Channel Link,Community Chat Links,Admins (comma-separated)
https://t.me/durov,,"@crypto, @durov, @durov_russia, @contest, @designers, @nft, @notoscam, @memhash, @SnoopDogg, @TON_Cabal"
https://t.me/w_community,,"@Bill, @IdW, @NZ, @Vo, @ya, @wcoinlover, @Hdo, @mr_wcoin, @who, @vo, @wcoin_tapbot, @thenothingapp_bot, @maz"
https://t.me/theYescoin,,"@hello_yescoin, @CTotheMoon, @justin_yescoin, @bums, @the_capybara_meme_bot, @GooodJob_Frens, @seedupdates, @PokergramComBot, @GenkiMinerBot, @MooncardsBot, @BitNetMiningBot, @theYescoin, @theYescoin_bot, @gamedtgbot, @mainetbot, @TelemafiaGameBot, @QuackAIAnn"
https://t.me/TimeFarmChannel,,"@TimeFarmCryptoBot, @timefarmdeals, @timefarmcommunitychat, @timefarmsupportbot, @cleardeal_bot, @chronotech"
https://t.me/toncoin,,"@elympics_bot, @toncoin, @dinogo_notification_bot, @MyTonWalletBot, @MyTonWalletEn, @fiva_protocol, @fiva_yield_bot, @AffluentAppBot, @entravelx_bot, @toneachat, @swiftgifts_official_bot, @Push, @PenguClash, @azukihq, @MemHustle_bot, @RedotPay_Bot, @toneuropehub, @CatizenAnn, @storm_trade_news, @gatto_gamebot, @TheOpenCardbot, @tonco_dex_bot, @toncishub, @TON_BATTLEGROUND_bot, @affluent, @tpolls_official_bot, @PudgyPenguins, @tonwallet_news_en, @BeautyTonBot, @JagadWalletBot, @sticker_bot, @wallet, @AdsGram_Reward_bot, @TravelwithTonbot, @playdeckbot, @toncommunityhq, @the_open_network, @pengu_clash_bot, @tonbuild, @dedust_en, @push, @CapsGameBot, @OfficialBAYC, @tonco_welcome, @tonkeeper, @EvaaAppBot, @UpscaleTradeBot, @just, @penguclash, @cyphercapital, @stonfidex, @China2ULoginBot, @tonsseahub, @kton_channel, @tonhub, @LinkRoad_bot, @SnoopDogg"
https://t.me/ProxyMTProto,,"@ProxyMTProto, @Ads_ProxyMTProto"
https://t.me/bums_official,,"@bums_support_bot, @bums, @Bums_Support1, @bums_corner, @bums_support1, @Agentrade_bot"
https://t.me/degens_community,,"@DegensCryptoBot, @degens_community_chat, @degens_support_bot, @degens_community"
https://t.me/realgoats_channel,,"@realgoats_channel, @eTON_Channel, @realgoats_bot, @Wilma_chief, @GoatJune1, @thefoxcoin_bot, @goatjune1, @wilma_chief, @etonai_bot"
https://t.me/activitylauncher_offical,,"@activitylauncher_offical, @kangamoonofficial, @ackinackinews, @activity_cooperation, @ActivtyLauncher_bot, @KangamoonGameBot, @add_up"
https://t.me/clayton,,"https://t.me/claytoncoinbot, @Portals, @Founder, @Roxman, @tokentable_bot, @dope____, @earn, @clayton, @just, @claytoncoinbot, @tonclayton, @Portals____, @mint____"
https://t.me/hotonnear,,"@drops_on_hot, @firedrops_board, @azbang_pony, @hot_wallet, @hotprotocol_bot, @hotcraft_watcher, @hotonnear, @digital_coll, @mywonder_here, @hot_evm, @hotonnear_chat, @neafiol_blog, @siberiasoon"
https://t.me/zoo_story,,"@BitgetENOfficial, @zoo_story"
https://t.me/Bitget_Wallet_Announcement,,"@Bitget_Wallet_Announcement, https://t.me/Bitget_Wallet, @Bitget_Wallet"
https://t.me/dotcoincommunity,,"@dotcoin, @dotcoin_bot____, @GiftsToDot, @dotcoin_bot, @dotcoin_help_support"
https://t.me/bits_channel_official,,"@bits_wallet, @BITS, @fomohash_bot, @bits, @BitsTonboxBot, @bits_global_chat"
https://t.me/DuckChainAnn,,"@mrsatoshik, @DuckChainAnn, https://t.me/DuckChain_bot, @Infini_official, @Bridge_StakeBot, @DuckChain_Bridge_bot, @duckchain, @DuckChain_io, @Fr0ZiCrypto, @DuckChain_Support_Bot, @DuckChain_bot"
https://t.me/CatizenAnn,,"@CatizenAnn, @evaafi, @wallet, @CatizenAI, @capybombbot, @CapybombChat, @CatteaAIbot, @catizenbot, @tapps_bot, @EvaaProtocolHub, @EvaaAppBot"
https://t.me/trendingapps,,"@renotabot, @tapps, @trendingapps, @entravelx_bot, @tapps_bot, @just"
https://t.me/catsdogs_community,,"@ackinackinews, @le, @ActivtyLauncher_bot, @catsdogs_game_bot, @boinker_bot, @catsgang_bot"
https://t.me/fintopionews,,"@Telegram, @nft, @EngineerAdam123, @Fintopio____, @MUHD_KING_CASH, @thexx, @FintopioNews, @wine, @Fintopio, @fintopionews, @fintopio, @sysmoke, @ChatPay, @Tahir1169, @durov, @evaaprotocol, @fintopio____, @Username, @Fintopionews, @Lejonen, @hhag94, @__, @username, @tradoor_io"
https://t.me/buzzitton,,"@b0rgre, @sandy_support, @boinker_bot, @buzzit1_bot, @bill_bdbz, @TheRokoBot"
https://t.me/rockyrabbitio,,"@Bitget_Announcements, @rockyrabbitio, https://t.me/rockyrabbitio, https://t.me/addlist, @rocky_rabbit_bot, @BitgetENOfficial, @GateioOfficialNews"
https://t.me/hrumfam,,"@hrummebot, @Solanamemcoinnews, @Vanaphone, @bobbyjonh"
https://t.me/join_community,,"@tonkeeper_farsi, @tokentable_bot, @earn, @accelerator_ton, @Tonkeeper_Chinese, @StormTradeBot, @tonstakers_bot, @bltff, @ROOLZQUEST_BOT, @HostFat, @tonkeeper_uzbek, @wallet, @evaaprotocol, @tonkeeper_news, @tonstakers_community, @community_bot, @getgems, @notcoin, @igor_krestinin, @ROoLZQuest_bot, @tonkeeper_ru, @ton_starter_chat"
https://t.me/okxwalletannouncement,,"@GenORaiders, @OKXOfficial_English, @FjordFoundry, @OKXWalletEN_Official, https://t.me/OKX_WALLET_BOT, @arbitrum, @okxwalletannouncement, @TheOKXGlobal, @Kokoktheroach"
